"","Season","Team","GP"
"1855",2013,"Duke",6
"1856",2013,"Louisville",6
"1857",2014,"Mt St Mary's",1
"1858",2014,"Xavier",1
"1859",2014,"TX Southern",1
"1860",2014,"Iowa",1
"1861",2014,"St Joseph's PA",1
"1862",2014,"Ohio St",1
"1863",2014,"Albany NY",1
"1864",2014,"Cincinnati",1
"1865",2014,"Manhattan",1
"1866",2014,"Wofford",1
"1867",2014,"Delaware",1
"1868",2014,"Oklahoma",1
"1869",2014,"BYU",1
"1870",2014,"Colorado",1
"1871",2014,"New Mexico St",1
"1872",2014,"NC State",1
"1873",2014,"W Michigan",1
"1874",2014,"Arizona St",1
"1875",2014,"WI Milwaukee",1
"1876",2014,"American Univ",1
"1877",2014,"Weber St",1
"1878",2014,"Nebraska",1
"1879",2014,"ULL",1
"1880",2014,"Oklahoma St",1
"1881",2014,"NC Central",1
"1882",2014,"E Kentucky",1
"1883",2014,"Kansas St",1
"1884",2014,"G Washington",1
"1885",2014,"Duke",1
"1886",2014,"Providence",1
"1887",2014,"VA Commonwealth",1
"1888",2014,"New Mexico",1
"1889",2014,"Massachusetts",2
"1890",2014,"Tulsa",2
"1891",2014,"Coastal Car",2
"1892",2014,"Cal Poly SLO",2
"1893",2014,"Villanova",2
"1894",2014,"Syracuse",2
"1895",2014,"Pittsburgh",2
"1896",2014,"St Louis",2
"1897",2014,"Texas",2
"1898",2014,"Harvard",2
"1899",2014,"N Dakota St",2
"1900",2014,"Oregon",2
"1901",2014,"Gonzaga",2
"1902",2014,"Creighton",2
"1903",2014,"North Carolina",2
"1904",2014,"Wichita St",2
"1905",2014,"Kansas",3
"1906",2014,"Mercer",3
"1907",2014,"SF Austin",3
"1908",2014,"Memphis",3
"1909",2014,"San Diego St",3
"1910",2014,"Stanford",3
"1911",2014,"UCLA",3
"1912",2014,"Baylor",3
"1913",2014,"Iowa St",4
"1914",2014,"Louisville",4
"1915",2014,"Tennessee",4
"1916",2014,"Virginia",4
"1917",2014,"Dayton",5
"1918",2014,"Arizona",5
"1919",2014,"Michigan St",6
"1920",2014,"Connecticut",6
"NA",2015,"Manhattan",1
"1922",2015,"BYU",1
"1923",2015,"Boise St",1
"1924",2015,"North Florida",1
"1925",2015,"TX Southern",1
"1926",2015,"Wofford",1
"1927",2015,"Texas",1
"1928",2015,"Purdue",1
"1929",2015,"E Washington",1
"1930",2015,"Baylor",1
"1931",2015,"Hampton",1
"1932",2015,"LSU",1
"1933",2015,"Harvard",1
"1934",2015,"Northeastern",1
"1935",2015,"VA Commonwealth",1
"1936",2015,"Iowa St",1
"1937",2015,"SMU",1
"1938",2015,"SF Austin",1
"1939",2015,"Lafayette",1
"1940",2015,"Mississippi",1
"1941",2015,"Providence",1
"1942",2015,"Robert Morris",1
"1943",2015,"N Dakota St",1
"1944",2015,"Davidson",1
"1945",2015,"New Mexico St",1
"1946",2015,"UC Irvine",1
"1947",2015,"Valparaiso",1
"1948",2015,"Georgia",1
"1949",2015,"Wyoming",1
"1950",2015,"Albany NY",1
"1951",2015,"Oklahoma St",1
"1952",2015,"St John's",1
"1953",2015,"Belmont",2
"1954",2015,"Buffalo",2
"1955",2015,"Indiana",2
"1956",2015,"Coastal Car",2
"1957",2015,"Ohio St",2
"1958",2015,"Cincinnati",2
"1959",2015,"Villanova",2
"1960",2015,"Arkansas",2
"1961",2015,"Butler",2
"1962",2015,"UAB",2
"1963",2015,"Georgetown",2
"1964",2015,"Georgia St",2
"1965",2015,"San Diego St",2
"1966",2015,"Iowa",2
"1967",2015,"Northern Iowa",2
"1968",2015,"Virginia",2
"1969",2015,"Dayton",3
"1970",2015,"Maryland",3
"1971",2015,"Kansas",3
"1972",2015,"Oregon",3
"1973",2015,"Xavier",3
"1974",2015,"West Virginia",3
"1975",2015,"Wichita St",3
"1976",2015,"North Carolina",3
"1977",2015,"Utah",4
"1978",2015,"UCLA",4
"1979",2015,"NC State",4
"1980",2015,"Oklahoma",4
"1981",2015,"Notre Dame",5
"1982",2015,"Arizona",5
"1983",2015,"Gonzaga",6
"1984",2015,"Duke",6
